id,call_time,pct,street_add,street_name,date,Incident ID,Call Time,Precinct,Nearest Intersection,street1,street2
202403004405.0,2024-01-30 19:52:42,9.0,14040 COLLINGHAM DR, COLLINGHAM DR,2024-01-30,202403000191,2024-01-30 05:55:16,9.0,Hazelridge St & Peoria St,HAZELRIDGE ST,PEORIA ST
,,,,,2024-01-30,202402904660,2024-01-30 01:31:46,8.0,Chalfonte St & Ferguson St,CHALFONTE ST,FERGUSON ST
202403000302.0,2024-01-30 01:34:38,12.0,19581 DERBY ST, DERBY ST,2024-01-30,202402904429,2024-01-30 00:27:50,12.0,Pickford St & Pennington Ave,PICKFORD ST,PENNINGTON AVE
202403001258.0,2024-01-30 08:10:12,12.0,19131 LESURE ST, LESURE ST,2024-01-30,202402904429,2024-01-30 00:27:50,12.0,Pickford St & Pennington Ave,PICKFORD ST,PENNINGTON AVE
202403001294.0,2024-01-30 08:18:34,12.0,W MONTANA ST/JOHN R ST,W MONTANA ST/JOHN R ST,2024-01-30,202402904429,2024-01-30 00:27:50,12.0,Pickford St & Pennington Ave,PICKFORD ST,PENNINGTON AVE
202403001330.0,2024-01-30 08:27:59,12.0,19498 DERBY ST, DERBY ST,2024-01-30,202402904429,2024-01-30 00:27:50,12.0,Pickford St & Pennington Ave,PICKFORD ST,PENNINGTON AVE
202403004089.0,2024-01-30 18:41:37,12.0,434 W SAVANNAH ST, W SAVANNAH ST,2024-01-30,202402904429,2024-01-30 00:27:50,12.0,Pickford St & Pennington Ave,PICKFORD ST,PENNINGTON AVE
202402905044.0,2024-01-29 22:46:05,5.0,17547 MINERVA ST, MINERVA ST,2024-01-29,202402900585,2024-01-29 08:45:36,5.0,French Rd & W I 94,FRENCH RD,W I 94
202402904818.0,2024-01-29 21:25:06,8.0,14498 WESTWOOD ST, WESTWOOD ST,2024-01-29,202402900370,2024-01-29 06:58:15,8.0,Clarita St & Appleton St,CLARITA ST,APPLETON ST
202402904818.0,2024-01-29 21:25:06,8.0,14498 WESTWOOD ST, WESTWOOD ST,2024-01-29,202402900370,2024-01-29 06:58:15,8.0,Clarita St & Appleton St,CLARITA ST,APPLETON ST
,,,,,2024-01-29,202402804567,2024-01-29 04:48:33,4.0,Kirkwood St & Trenton St,KIRKWOOD ST,TRENTON ST
,,,,,2024-01-29,202402804249,2024-01-29 03:26:21,12.0,San Juan Dr & Santa Maria St,SAN JUAN DR,SANTA MARIA ST
,,,,,2024-01-29,202402804128,2024-01-29 02:49:07,4.0,W Vernor Hwy & Scotten St,W VERNOR HWY,SCOTTEN ST
202402905044.0,2024-01-29 22:46:05,5.0,17547 MINERVA ST, MINERVA ST,2024-01-29,202402804122,2024-01-29 02:47:35,5.0,Mack Ave & Montclair St,MACK AVE,MONTCLAIR ST
202402700828.0,2024-01-27 04:50:48,10.0,4162 PASADENA ST, PASADENA ST,2024-01-27,202402703209,2024-01-27 21:31:33,10.0,Ford St & La Salle Blvd,FORD ST,LA SALLE BLVD
202402700828.0,2024-01-27 04:50:48,10.0,4162 PASADENA ST, PASADENA ST,2024-01-27,202402703209,2024-01-27 21:31:33,10.0,Ford St & La Salle Blvd,FORD ST,LA SALLE BLVD
202402701326.0,2024-01-27 08:26:39,10.0,9900 BROADSTREET AVE, BROADSTREET AVE,2024-01-27,202402703209,2024-01-27 21:31:33,10.0,Ford St & La Salle Blvd,FORD ST,LA SALLE BLVD
202402701329.0,2024-01-27 08:27:09,10.0,9900 BROADSTREET AVE, BROADSTREET AVE,2024-01-27,202402703209,2024-01-27 21:31:33,10.0,Ford St & La Salle Blvd,FORD ST,LA SALLE BLVD
202402703135.0,2024-01-27 16:15:58,10.0,0 LIVERNOIS AVE, LIVERNOIS AVE,2024-01-27,202402703209,2024-01-27 21:31:33,10.0,Ford St & La Salle Blvd,FORD ST,LA SALLE BLVD
202402700236.0,2024-01-27 00:59:32,11.0,2934 E 7 MILE RD, E  MILE RD,2024-01-27,202402702679,2024-01-27 19:28:04,11.0,Sparling St & Charles St,SPARLING ST,CHARLES ST
202402704812.0,2024-01-27 22:26:38,11.0,18407 ORLEANS ST, ORLEANS ST,2024-01-27,202402702679,2024-01-27 19:28:04,11.0,Sparling St & Charles St,SPARLING ST,CHARLES ST
202402704815.0,2024-01-27 22:27:28,11.0,18399 ORLEANS ST, ORLEANS ST,2024-01-27,202402702679,2024-01-27 19:28:04,11.0,Sparling St & Charles St,SPARLING ST,CHARLES ST
202402700828.0,2024-01-27 04:50:48,10.0,4162 PASADENA ST, PASADENA ST,2024-01-27,202402702615,2024-01-27 19:08:12,10.0,Holmur St & Ewald Cir,HOLMUR ST,EWALD CIR
202402700828.0,2024-01-27 04:50:48,10.0,4162 PASADENA ST, PASADENA ST,2024-01-27,202402702615,2024-01-27 19:08:12,10.0,Holmur St & Ewald Cir,HOLMUR ST,EWALD CIR
202402701326.0,2024-01-27 08:26:39,10.0,9900 BROADSTREET AVE, BROADSTREET AVE,2024-01-27,202402702615,2024-01-27 19:08:12,10.0,Holmur St & Ewald Cir,HOLMUR ST,EWALD CIR
202402701329.0,2024-01-27 08:27:09,10.0,9900 BROADSTREET AVE, BROADSTREET AVE,2024-01-27,202402702615,2024-01-27 19:08:12,10.0,Holmur St & Ewald Cir,HOLMUR ST,EWALD CIR
202402703135.0,2024-01-27 16:15:58,10.0,0 LIVERNOIS AVE, LIVERNOIS AVE,2024-01-27,202402702615,2024-01-27 19:08:12,10.0,Holmur St & Ewald Cir,HOLMUR ST,EWALD CIR
202402700391.0,2024-01-27 02:00:15,8.0,19095 HEYDEN ST, HEYDEN ST,2024-01-27,202402700817,2024-01-27 09:45:53,8.0,Greenfield Rd & Chalfonte St,GREENFIELD RD,CHALFONTE ST
202402700691.0,2024-01-27 03:46:03,8.0,22277 FENKELL ST, FENKELL ST,2024-01-27,202402700817,2024-01-27 09:45:53,8.0,Greenfield Rd & Chalfonte St,GREENFIELD RD,CHALFONTE ST
202402700698.0,2024-01-27 03:47:00,8.0,22299 FENKELL ST, FENKELL ST,2024-01-27,202402700817,2024-01-27 09:45:53,8.0,Greenfield Rd & Chalfonte St,GREENFIELD RD,CHALFONTE ST
202402700815.0,2024-01-27 04:45:47,8.0,15905 GREENFIELD RD, GREENFIELD RD,2024-01-27,202402700817,2024-01-27 09:45:53,8.0,Greenfield Rd & Chalfonte St,GREENFIELD RD,CHALFONTE ST
